"year","region","passage","number","sentence","sentence_low"
"2007","天津","A","36"," The new law passed in Rome will ______."," the new law passed in rome will ______."
"2007","天津","A","37"," People in Rome believe that the civilization of a city can be judged by its ______."," people in rome believe that the civilization of a city can be judged by its ______."
"2007","天津","A","38"," The underlined word ""compassion"" in Paragraph 6 is the closest in meaning to ______."," the underlined word ""compassion"" in paragraph 6 is the closest in meaning to ______."
"2007","天津","A","39"," People may break the law in Turin if they ______."," people may break the law in turin if they ______."
"2007","天津","B","40"," Charles Blackman's paintings come from ______."," charles blackman's paintings come from ______."
"2007","天津","B","41"," Which two activities can you participate in on the same day?"," which two activities can you participate in on the same day?"
"2007","天津","B","42"," To understand the Alice in Wonderland paintings, you should go to ______."," to understand the alice in wonderland paintings, you should go to ______."
"2007","天津","B","43"," Activities concerning children's books are to be held ______."," activities concerning children's books are to be held ______."
"2007","天津","C","44"," The author seems to tell us in Paragraph 1 that ______."," the author seems to tell us in paragraph 1 that ______."
"2007","天津","C","45"," When the author turned fifty, people around him ______."," when the author turned fifty, people around him ______."
"2007","天津","C","46"," The author considers his fifty years of life ______."," the author considers his fifty years of life ______."
"2007","天津","C","47"," We can infer from the passage that ______."," we can infer from the passage that ______."
"2007","天津","D","48"," The underlined word ""them"" in Paragraph 1 refers to ______."," the underlined word ""them"" in paragraph 1 refers to ______."
"2007","天津","D","49"," Meditations manage their daily tasks better because they ______."," meditations manage their daily tasks better because they ______."
"2007","天津","D","50"," In the experiment, volunteers doing meditation for longer hours ______."," in the experiment, volunteers doing meditation for longer hours ______."
"2007","天津","D","51"," The study proves that ______."," the study proves that ______."
"2007","天津","E","52"," An employee may have a feeling of fear in the work place when ______."," an employee may have a feeling of fear in the work place when ______."
"2007","天津","E","53"," Which of the following is TRUE according to the passage?"," which of the following is true according to the passage?"
"2007","天津","E","54"," To positively influence employees a leader should first of all ______."," to positively influence employees a leader should first of all ______."
"2007","天津","E","55"," Good leadership is mainly seen in a leader's ability to ______."," good leadership is mainly seen in a leader's ability to ______."
"2008","天津","A","36"," Which of the following is TRUE about Cisneros in her childhood?"," which of the following is true about cisneros in her childhood?"
"2008","天津","A","37"," The graduate program gave Cisneros a chance to ______."," the graduate program gave cisneros a chance to ______."
