"rank","time","help","text"
"力荐","2018-01-28","11204","“你看，这个孩子好懂事啊。”“你怎么知道她是不是害怕、沉默、妥协呢？”"
"力荐","2016-09-02","8650","原来我们都是这样长大的……或者说，如果没有共鸣，你知不知道你有多幸运……"
"力荐","2014-02-19","4540","我之所以坚决认为不该要孩子，没有别的原因，仅仅是因为我实在没有把握让一个充满灵气的生命不被“成长”为一个认为《时间简史》只是给孩子看的、用一个谎言去圆另一个谎言的大人。PS：这应该就是今年你能看到的最好的华语电影"
"还行","2013-10-16","4335","狗是引题，13是成长，狗B是伪善的成人世界。家长不知教育孩子的根本，而拿狗出气，这就是中国式教育的最大问题。新狗代替老狗去死，女孩意识到狗狗回来受罪不如在外人那好吃好伺候着，这是她向成人世界的妥协也是她逐渐迈向成人的成长。"
"力荐","2018-02-21","3896","李玩的名字是胡乱取的，弟弟的名字是认真取的，因为“男孩的名字不能太随便了”。 继母随便找只狗来敷衍李玩，爸爸还强迫她承认这就是爱因斯坦。 是继母买来了新狗，也是继母要把新狗卖了。狗只是畜生，利用完了就可以扔了。 李玩推倒了爷爷，遭到了爸爸的暴打；弟弟打了奶奶，爸爸却反过来哄弟弟。 弟弟挑衅新狗在先，爸爸却去打新狗。 李玩永远是错的，弟弟永远是对的。 于是，李玩变得“成熟懂事”了，她会不让爸爸难堪，忍痛吃狗肉；她会为了不让爱因斯坦跟她受苦，忍痛离开。 但我还是想念最真实的她，希望她能做回自己。 我们人人都是李玩，被生活磨平了棱角，失去了个性，扔掉了脾气，忘记了初心，还美其名曰“这就是成长”。 我们“提高了”情商，“学会了”做违心的事，说违心的话，再也不遵循自己的内心。 狗永远是狗，人有时却不是人。"
"推荐","2018-12-02","3016","这毕竟还是大城市的较为体面的家庭的故事了，女孩要在父亲面前挑衅地吹啤酒瓶才会挨一顿打，打完还能得到道歉与补偿。在我们十八线小城市的版本里，女孩准备出门找狗的时候就已经可以赢得两记耳光了，没有发出尖叫的机会，没有摔门摔碗的机会，只能把头深深地埋进被窝里无声哭一场，第二天起来，就长大了。"
"推荐","2018-12-05","1412","真的会去看这本电影的观众，其实都没有去看的必要，所有的剧情他们都知道，所有的后来他们都正在写下，他们是观众是演员是这本电影和生活的预言家。但是需要看这本电影的那些人，可能永远不会看到这本电影。"
"推荐","2018-01-27","1251","每一场成长都是凶杀案，或者说，这块土地上没有成长只有阉割。最后少女终于知道让心爱的狗留在身边是危险的，这就是我们的生存法则，越早领悟越少挣扎越少伤害，恨，恨带来安全、稳固和强大。我们生活在“恨和国”里。"
"推荐","2013-10-07","978","千言万语、含蓄用力、直白或有寓意，其实就一句粗口：XX。有些地方挺狠的，女性观众很容易会看哭吧。当动物不再凶猛，温良而顺从，这个国度那套深入到骨髓的，父权威严不可抗的教育方式，已经被吸收消化了。"
"推荐","2018-12-04","850","9分。太真实、太熟悉、太多似曾相识。本片与常规青春片最大的不同是：不煽情、不抓马。对待不公平的做法是不争取，不呐喊，而是让角色去接受：好吧、算了吧、就这样吧。。。一直在放弃，一直在退让，这就是长大，就是懂事了。这样反而更让人想哭。因为，这太像我们一路成长经历过的那些。所以，会哭不是因为感动，而是难过，是对一切都无能为力之后，因无奈而难过。更令人无奈的是，这一切，似乎都是无解的。家长的教育观是潜移默化的，我们这一代又一代，都是这么长大的，被磨平棱角的孩子，长大后，变成懂事的大人，然后，帮着下一代懂事。"
