"year","region","passage","sentence","sentence_low"
"2007","天津","A","The city of Rome has passed a new law to prevent cruelty to animals.","the city of rome has passed a new law to prevent cruelty to animals."
"2007","天津","A","All goldfish bowls are no longer allowed and dog owners must walk their dogs.","all goldfish bowls are no longer allowed and dog owners must walk their dogs."
"2007","天津","A","This comes after a national law was passed to give prison sentences to people who desert cats or dogs.","this comes after a national law was passed to give prison sentences to people who desert cats or dogs."
"2007","天津","A","""The civilization of a city can be measured by this,"" said Monica Carina, the councilor (议员) behind the new law.","""the civilization of a city can be measured by this,"" said monica carina, the councilor (议员) behind the new law."
"2007","天津","A","""It's good to do whatever we can for our animals who in exchange for a little love fill our existence with their attention,"" she told a Rome newspaper.","""it's good to do whatever we can for our animals who in exchange for a little love fill our existence with their attention,"" she told a rome newspaper."
"2007","天津","A","The newspaper reported that round bowls don't give enough oxygen for fish and may make them go blind.","the newspaper reported that round bowls don't give enough oxygen for fish and may make them go blind."
"2007","天津","A","""Rome has tried to protect fish more than anywhere else in the world .","""rome has tried to protect fish more than anywhere else in the world ."
"2007","天津","A","It stands out for recognizing that fish are interesting animals who deserve (值得) our respect and compassion  every bit as much as dogs and cats and other animals,"" said Karin Robertson, a director of the People for the Ethical Treatment of Animals.","it stands out for recognizing that fish are interesting animals who deserve (值得) our respect and compassion  every bit as much as dogs and cats and other animals,"" said karin robertson, a director of the people for the ethical treatment of animals."
"2007","天津","A","Last year a law was passed in Italy that gives people who desert pets big fines (罚款) and prison sentences.","last year a law was passed in italy that gives people who desert pets big fines (罚款) and prison sentences."
"2007","天津","A","Since then local governments have added their own animal protection rules.","since then local governments have added their own animal protection rules."
"2007","天津","A","The northern city of Turin passed a law in April to give pet owners fines of up to $598 if they do not walk their dogs three times a day.","the northern city of turin passed a law in april to give pet owners fines of up to $598 if they do not walk their dogs three times a day."
"2007","天津","A","The new law in Rome also says that owners mustn't leave their dogs in hot cars or cut their dogs' tails to make them look lovelier.","the new law in rome also says that owners mustn't leave their dogs in hot cars or cut their dogs' tails to make them look lovelier."
"2007","天津","A","The law also gives legal recognition to the ""cat ladies"" who feed homeless cats.","the law also gives legal recognition to the ""cat ladies"" who feed homeless cats."
"2007","天津","A","The cats live all over the city from ancient ruins to modern office car parks.","the cats live all over the city from ancient ruins to modern office car parks."
"2007","天津","A","36 The new law passed in Rome will ______.","36 the new law passed in rome will ______."
"2007","天津","A","A.help improve fishing environment","a.help improve fishing environment"
"2007","天津","A","B.guarantee better conditions for goldfish","b.guarantee better conditions for goldfish"
"2007","天津","A","C.stop people from catching goldfish","c.stop people from catching goldfish"
"2007","天津","A","D.discourage keeping goldfish at home","d.discourage keeping goldfish at home"
"2007","天津","A","37 People in Rome believe that the civilization of a city can be judged by its ______.","37 people in rome believe that the civilization of a city can be judged by its ______."
"2007","天津","A","A.exchanges with other cities","a.exchanges with other cities"
"2007","天津","A","B.protection for ancient ruins","b.protection for ancient ruins"
"2007","天津","A","C.awareness of animal protection","c.awareness of animal protection"
"2007","天津","A","D.recognition of animal lovers","d.recognition of animal lovers"
"2007","天津","A","38 The underlined word ""compassion"" in Paragraph 6 is the closest in meaning to ______.","38 the underlined word ""compassion"" in paragraph 6 is the closest in meaning to ______."
"2007","天津","A","A.pity","a.pity"
"2007","天津","A","B.praise","b.praise"
"2007","天津","A","C.support","c.support"
"2007","天津","A","D.popularity","d.popularity"
"2007","天津","A","39 People may break the law in Turin if they ______.","39 people may break the law in turin if they ______."
"2007","天津","A","A.keep their dogs or cats in cars","a.keep their dogs or cats in cars"
"2007","天津","A","B.feed homeless animals in car parks","b.feed homeless animals in car parks"
"2007","天津","A","C.raise their cats near ancient ruins","c.raise their cats near ancient ruins"
"2007","天津","A","D.shut their dogs home all day long","d.shut their dogs home all day long"
"2007","天津","B","Charles Blackman: Alice in Wonderland","charles blackman: alice in wonderland"
"2007","天津","B","An Wxhibition at the National Gallery of Victoria (NGV), Australia","an wxhibition at the national gallery of victoria (ngv), australia"
"2007","天津","B","Time           10 June - 12 August 2007","time           10 june - 12 august 2007"
"2007","天津","B","Venue (地点)   The Lan Potter Centre","venue (地点)   the lan potter centre"
"2007","天津","B","Admission      Free entry","admission      free entry"
"2007","天津","B","Charles Blackman is famous for his beautiful painting of dreams.","charles blackman is famous for his beautiful painting of dreams."
"2007","天津","B","In 1956 , he heard for the first time Lewis Carroll's extraordinary tale of Alice in Wonderland -- the story of a Victorian girl who falls down a rabbit hole, meets a lot of funny characters and experience all kinds of things.","in 1956 , he heard for the first time lewis carroll's extraordinary tale of alice in wonderland -- the story of a victorian girl who falls down a rabbit hole, meets a lot of funny characters and experience all kinds of things."
"2007","天津","B","At that time, Blackman's wife was suffering form progressive blindness.","at that time, blackman's wife was suffering form progressive blindness."
"2007","天津","B","The story of Alice moving through the strange situations, often disheartened by various events, was similar to his wife's experiences.","the story of alice moving through the strange situations, often disheartened by various events, was similar to his wife's experiences."
"2007","天津","B","It also reflected so much of his own life.","it also reflected so much of his own life."
"2007","天津","B","All this contributed to the completion of the Alice in Wonderland paintings.","all this contributed to the completion of the alice in wonderland paintings."
"2007","天津","B","Illustrator Workshop","illustrator workshop"
"2007","天津","B","Go straight to the experts for an introductory course in book illustration (插图) .","go straight to the experts for an introductory course in book illustration (插图) ."
"2007","天津","B","The course includes an introduction to the process of illustration and its techniques, workshop exercise and group projects.","the course includes an introduction to the process of illustration and its techniques, workshop exercise and group projects."
"2007","天津","B","Dates Sunday 17 June & Sunday 5Aug, 10am - 1pm","dates sunday 17 june & sunday 5aug, 10am - 1pm"
"2007","天津","B","Venue Gas Works Arts Park","venue gas works arts park"
"2007","天津","B","Wonderful World","wonderful world"
"2007","天津","B","Celebrate the exhibition and Children's Book Week with special activities just for the day, including a special visit from Alice and the White Rabbit","celebrate the exhibition and children's book week with special activities just for the day, including a special visit from alice and the white rabbit"
"2007","天津","B","Date Sunday 24 June, 11am - 4pm","date sunday 24 june, 11am - 4pm"
"2007","天津","B","Venue Exhibition Space, Level 3","venue exhibition space, level 3"
"2007","天津","B","Topsy-Turvy","topsy-turvy"
"2007","天津","B","Visit the exhibition or discover wonderful curiosities in artworks in the NGV Collection and make a magic world in a box.","visit the exhibition or discover wonderful curiosities in artworks in the ngv collection and make a magic world in a box."
"2007","天津","B","Alice and the White Rabbit will be with you.","alice and the white rabbit will be with you."
"2007","天津","B","Walt Disney's Alice in Wonderland will be screened.","walt disney's alice in wonderland will be screened."
"2007","天津","B","Dates Sunday 8, 15, 22, 29 July, and Tuesday 24 - Friday 27 July, 12noon - 3pm","dates sunday 8, 15, 22, 29 july, and tuesday 24 - friday 27 july, 12noon - 3pm"
"2007","天津","B","Venue Theatre, NGV Australia","venue theatre, ngv australia"
"2007","天津","B","Drawing Workshop","drawing workshop"
"2007","天津","B","Distortions of scale (比例失真) can make artworks strange but interesting .","distortions of scale (比例失真) can make artworks strange but interesting ."
"2007","天津","B","Find out how Charles Blackman distorted scale in his paintings to create a curious world, then experiment with scale in your own drawings.","find out how charles blackman distorted scale in his paintings to create a curious world, then experiment with scale in your own drawings."
"2007","天津","B","More information upon booking.","more information upon booking."
"2007","天津","B","Date Friday 27 July, 10:30am - 3pm","date friday 27 july, 10:30am - 3pm"
"2007","天津","B","Venue Foryer, Level 3","venue foryer, level 3"
"2007","天津","B","40 Charles Blackman's paintings come from ______.","40 charles blackman's paintings come from ______."
"2007","天津","B","A.his admiration for Lewis Carrioll","a.his admiration for lewis carrioll"
"2007","天津","B","B.his dream of becoming a famous artist","b.his dream of becoming a famous artist"
"2007","天津","B","C.his wish to express his own feelings","c.his wish to express his own feelings"
"2007","天津","B","D.his eagerness to cure his wife's illness","d.his eagerness to cure his wife's illness"
"2007","天津","B","41 Which two activities can you participate in on the same day?","41 which two activities can you participate in on the same day?"
"2007","天津","B","A.Illustrator Workshop and Wonderful World.","a.illustrator workshop and wonderful world."
"2007","天津","B","B.Illustrator Workshop and Drawing Workshop.","b.illustrator workshop and drawing workshop."
"2007","天津","B","C.Wonerful World and Topsy-Turvy.","c.wonerful world and topsy-turvy."
"2007","天津","B","D.Topsy-Turvy and Drawing Workshop.","d.topsy-turvy and drawing workshop."
"2007","天津","B","42 To understand the Alice in Wonderland paintings, you should go to ______.","42 to understand the alice in wonderland paintings, you should go to ______."
"2007","天津","B","A.Exhibition Space, Level 3","a.exhibition space, level 3"
"2007","天津","B","B.Gas Works Arts Park","b.gas works arts park"
"2007","天津","B","C.Theatre, NGV Australia","c.theatre, ngv australia"
"2007","天津","B","D.Foyer, Level 3","d.foyer, level 3"
"2007","天津","B","43 Activities concerning children's books are to be held ______.","43 activities concerning children's books are to be held ______."
"2007","天津","B","A.on June 24, 2007","a.on june 24, 2007"
"2007","天津","B","B.on July 15, 2007","b.on july 15, 2007"
"2007","天津","B","C.on July 27, 2007","c.on july 27, 2007"
"2007","天津","B","D.on August 5, 2007","d.on august 5, 2007"
"2007","天津","C","I recently turned fifty, which is young for a tree, midlife for an elephant, and ancient for a sportsman.","i recently turned fifty, which is young for a tree, midlife for an elephant, and ancient for a sportsman."
"2007","天津","C","Fifty is a nice number for the states in the US or for a national speed limit but it is not a number that I was prepared to have hung on me.","fifty is a nice number for the states in the us or for a national speed limit but it is not a number that i was prepared to have hung on me."
"2007","天津","C","Fifty is supposed to be my father's age, but now I am stuck with this number and everything it means.","fifty is supposed to be my father's age, but now i am stuck with this number and everything it means."
"2007","天津","C","A few days ago, a friend tried to cheer me up by saying, ""Fifty is what forty used to be.""","a few days ago, a friend tried to cheer me up by saying, ""fifty is what forty used to be."""
"2007","天津","C","He had made an inspirational point.","he had made an inspirational point."
"2007","天津","C","Am I over the hill?","am i over the hill?"
"2007","天津","C","People keep telling me that the hill has been moved, and I keep telling them that the high-jump bar has dropped from the six feet I once easily cleared to the four feet that is impossible for me now.","people keep telling me that the hill has been moved, and i keep telling them that the high-jump bar has dropped from the six feet i once easily cleared to the four feet that is impossible for me now."
"2007","天津","C","""Your are not getting older, you are getting better,"" says Dr Joyce Brothers.","""your are not getting older, you are getting better,"" says dr joyce brothers."
"2007","天津","C","This, however, is the kind of doctor who inspires a second opinion.","this, however, is the kind of doctor who inspires a second opinion."
"2007","天津","C","And so, as I approach the day when I cannot even jump over the tennis net.","and so, as i approach the day when i cannot even jump over the tennis net."
"2007","天津","C","I am moved to share some thoughts on aging with you.","i am moved to share some thoughts on aging with you."
"2007","天津","C","I am moved to show how aging feels to me physically and mentally.","i am moved to show how aging feels to me physically and mentally."
"2007","天津","C","Getting older, of course, is obviously a better change than the one that brings you eulogies (悼词) .","getting older, of course, is obviously a better change than the one that brings you eulogies (悼词) ."
"2007","天津","C","In fact, a poet named Robert Browning considered it the best change of all:","in fact, a poet named robert browning considered it the best change of all:"
"2007","天津","C","Grow old along with me!","grow old along with me!"
"2007","天津","C","The best is yet to be.","the best is yet to be."
"2007","天津","C","Whether or not Browning was right, most of my first fifty years have been golden ones, so I will settle for what is ahead being as good as what has gone by.","whether or not browning was right, most of my first fifty years have been golden ones, so i will settle for what is ahead being as good as what has gone by."
"2007","天津","C","I find myself moving toward what is ahead with a curious bleng (混合) of both fighting and accepting my aging, hoping that the philosopher (哲学家) was right when he said, ""Old is always fifteen years from now.""","i find myself moving toward what is ahead with a curious bleng (混合) of both fighting and accepting my aging, hoping that the philosopher (哲学家) was right when he said, ""old is always fifteen years from now."""
"2007","天津","C","44 The author seems to tell us in Paragraph 1 that ______.","44 the author seems to tell us in paragraph 1 that ______."
"2007","天津","C","A.time alone will tell","a.time alone will tell"
"2007","天津","C","B.time goes by quickly","b.time goes by quickly"
"2007","天津","C","C.time will show what is right","c.time will show what is right"
"2007","天津","C","D.time makes one forget the past","d.time makes one forget the past"
"2007","天津","C","45 When the author turned fifty, people around him ______.","45 when the author turned fifty, people around him ______."
"2007","天津","C","A.tried to comfort him","a.tried to comfort him"
"2007","天津","C","B.got inspiration with him","b.got inspiration with him"
"2007","天津","C","C.were friendlier with him","c.were friendlier with him"
"2007","天津","C","D.found him more talkative","d.found him more talkative"
"2007","天津","C","46 The author considers his fifty years of life ______.","46 the author considers his fifty years of life ______."
"2007","天津","C","A.peaceful","a.peaceful"
"2007","天津","C","B.ordinary","b.ordinary"
"2007","天津","C","C.satisfactory","c.satisfactory"
"2007","天津","C","D.regretful","d.regretful"
"2007","天津","C","47 We can infer from the passage that ______.","47 we can infer from the passage that ______."
"2007","天津","C","A.the old should led a simple life","a.the old should led a simple life"
"2007","天津","C","B.the old should face the fact of aging","b.the old should face the fact of aging"
"2007","天津","C","C.the old should take more exercise","c.the old should take more exercise"
"2007","天津","C","D.the old should fill themselves with curiosity","d.the old should fill themselves with curiosity"
"2007","天津","D","In meditation (冥想) ，people sit quietly and focus their attention on their breath.","in meditation (冥想) ，people sit quietly and focus their attention on their breath."
"2007","天津","D","As they breathe in and out, they attend to their feelings.","as they breathe in and out, they attend to their feelings."
"2007","天津","D","As thoughts go through their minds, they let them go.","as thoughts go through their minds, they let them go."
"2007","天津","D","Breathe.","breathe."
"2007","天津","D","Let go.","let go."
"2007","天津","D","Breathe.","breathe."
"2007","天津","D","Let go.","let go."
"2007","天津","D","According to a recent study at the Insight Meditation Society in Barre, Massachusetts, three months of training in this kind of meditation causes a marked change in how the brain allocates (分配) attention.","according to a recent study at the insight meditation society in barre, massachusetts, three months of training in this kind of meditation causes a marked change in how the brain allocates (分配) attention."
"2007","天津","D","It appears that the ability to let go thoughts that come into mind frees the brain to attend to more rapidly changing things and events in the outside world.","it appears that the ability to let go thoughts that come into mind frees the brain to attend to more rapidly changing things and events in the outside world."
"2007","天津","D","Expert meditators are better than other people at catching such fast-changing stimuli (刺激) , like facial expressions.","expert meditators are better than other people at catching such fast-changing stimuli (刺激) , like facial expressions."
"2007","天津","D","The study provides evidence for changes in the workings of the brain with mental training.","the study provides evidence for changes in the workings of the brain with mental training."
"2007","天津","D","People can learn and improve abilities of all sorts with practice, everything from driving to playing the piano.","people can learn and improve abilities of all sorts with practice, everything from driving to playing the piano."
